Technology
Python
JavaScript
HTML
CSS
AWS
Docker
Kubernetes
SQL
NoSQL
MongoDB
Airflow
Machine Learning
PySpark
Redshift
CI/CD
Spark
Kafka
Kinesis
Kubernetes
Docker
Terraform
Django
REST
FastApi
